Altitude,Mach number,Angle of attack (AoA),Angle of sideslip (AoS),Total CL,Total CD,Directory Name
14200.0,1.0,8.0,0.0,0.864302,0.254372,Case90_alt14200.0_mach1.0_aoa8.0_aos0.0
13300.0,0.6,8.0,0.0,0.740961,0.109161,Case91_alt13300.0_mach0.6_aoa8.0_aos0.0
13300.0,0.6,9.0,0.0,0.766832,0.129289,Case92_alt13300.0_mach0.6_aoa9.0_aos0.0
13300.0,0.6,-3.0,0.0,-0.164077,-0.002016,Case93_alt13300.0_mach0.6_aoa-3.0_aos0.0
14000.0,0.6,-4.0,0.0,-0.266509,0.002610,Case94_alt14000.0_mach0.6_aoa-4.0_aos0.0
13500.0,0.6,-4.0,0.0,-0.266509,0.002610,Case95_alt13500.0_mach0.6_aoa-4.0_aos0.0
14700.0,0.9,-4.0,0.0,-0.380668,0.067004,Case96_alt14700.0_mach0.9_aoa-4.0_aos0.0
15000.0,0.9,3.0,0.0,0.665793,0.110533,Case97_alt15000.0_mach0.9_aoa3.0_aos0.0
15000.0,0.9,0.0,0.0,0.277331,0.055500,Case98_alt15000.0_mach0.9_aoa0.0_aos0.0
15000.0,0.9,0.0,-1.0,0.278117,0.045044,Case99_alt15000.0_mach0.9_aoa0.0_aos-1.0
12000.0,0.5,0.0,-1.0,0.140775,-0.005613,Case100_alt12000.0_mach0.5_aoa0.0_aos-1.0
