Altitude,Mach,AoA,AoS,Total CL,Total CD
14426.0,0.1,12.0,13.0,1.038090,1.457130
9362.0,0.5,7.0,13.0,0.705702,0.354169
12173.0,0.5,-9.0,11.0,-0.700757,0.266281
611.0,0.5,-3.0,4.0,-0.155396,0.034393
10360.0,0.1,-2.0,11.0,-0.019240,0.929669
13969.0,0.6,8.0,-1.0,0.757544,0.093511
11519.0,0.3,-1.0,-2.0,0.055971,-0.009141
994.0,0.3,7.0,2.0,0.777915,0.057290
13763.0,0.3,14.0,4.0,1.144425,0.223306
254.0,0.5,-10.0,13.0,-0.761758,0.357482
276.0,0.3,6.0,12.0,0.575284,0.427967
13003.0,0.6,5.0,-4.0,0.683305,0.055892
14179.0,0.4,-14.0,2.0,-1.160382,0.131867
7578.0,0.2,1.0,1.0,0.236056,-0.012503
4386.0,0.3,-8.0,2.0,-0.620870,0.033130
1821.0,0.3,-2.0,12.0,-0.042820,0.390317
8378.0,0.3,0.0,-2.0,0.157659,-0.007378
814.0,0.5,5.0,2.0,0.654133,0.047187
13777.0,0.6,-12.0,-1.0,-1.040946,0.103948
2173.0,0.4,12.0,14.0,0.856069,0.543285
11751.0,0.6,-7.0,10.0,-0.585748,0.192257
5362.0,0.5,9.0,-1.0,0.901617,0.101737
5713.0,0.2,6.0,6.0,0.621277,0.164516
14349.0,0.2,0.0,3.0,0.137635,0.019529
5144.0,0.2,13.0,-3.0,1.241021,0.148388
2304.0,0.4,0.0,10.0,0.133115,0.216351
14801.0,0.6,-4.0,11.0,-0.264010,0.195276
5437.0,0.2,2.0,-4.0,0.352130,0.037254
9672.0,0.4,-9.0,4.0,-0.725925,0.081074
7999.0,0.5,-1.0,8.0,0.050248,0.118493
1719.0,0.5,6.0,7.0,0.697640,0.145905
2394.0,0.5,4.0,12.0,0.501014,0.275844
1806.0,0.1,3.0,-2.0,0.418135,-0.005649
8138.0,0.6,13.0,6.0,0.870487,0.280762
4869.0,0.4,-2.0,1.0,-0.049941,-0.002807
2417.0,0.4,-7.0,-1.0,-0.570713,0.011737
5564.0,0.5,-10.0,11.0,-0.785406,0.281571
929.0,0.3,9.0,9.0,0.823925,0.301518
8746.0,0.2,14.0,13.0,1.007788,0.786026
11968.0,0.2,14.0,6.0,1.150945,0.292860
11780.0,0.4,0.0,-3.0,0.162372,0.002460
14425.0,0.2,-7.0,7.0,-0.468375,0.199747
14763.0,0.5,7.0,8.0,0.753511,0.187425
14370.0,0.3,-8.0,10.0,-0.537680,0.306819
3092.0,0.5,-2.0,7.0,-0.049501,0.092843
4123.0,0.1,10.0,12.0,0.913008,1.222425
13111.0,0.3,-4.0,-1.0,-0.248600,-0.010440
925.0,0.3,6.0,-2.0,0.735770,0.032946
8004.0,0.4,-9.0,2.0,-0.745420,0.049516
8798.0,0.5,-9.0,-3.0,-0.813793,0.042322
8822.0,0.4,-6.0,9.0,-0.407474,0.193840
1277.0,0.4,-3.0,1.0,-0.152267,-0.001381
9462.0,0.2,1.0,13.0,0.176435,0.632106
1411.0,0.3,0.0,10.0,0.122709,0.274559
2817.0,0.1,-12.0,-2.0,-0.923732,0.050914
5257.0,0.6,-5.0,10.0,-0.373419,0.172377
